frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.ip.client	dhcp.ip.your	dhcp.option.requested_ip_address	dhcp.option.dhcp_server_id	dhcp.option.ip_address_lease_time	dhcp.option.renewal_time_value
1	0.000000000	10.10.0.254	10.10.0.254	DHCP	DHCP Release  - Transaction ID 0x0	0x00000000	7	10.10.0.2	0.0.0.0		10.10.0.254		
2	3.297212690	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x62f4cc3c	0x62f4cc3c	1	0.0.0.0	0.0.0.0	10.10.0.8			
3	3.297563886	b8:27:eb:ba:c7:ba		ARP	Who has 10.10.0.8? Tell 10.10.0.254								
4	4.321798172	b8:27:eb:ba:c7:ba		ARP	Who has 10.10.0.8? Tell 10.10.0.254								
5	5.345815791	b8:27:eb:ba:c7:ba		ARP	Who has 10.10.0.8? Tell 10.10.0.254								
6	6.301567141	10.10.0.254	10.10.0.8	ICMP	Echo (ping) request  id=0xc380, seq=0/0, ttl=64								
7	6.301801931	10.10.0.254	10.10.0.8	DHCP	DHCP Offer    - Transaction ID 0x62f4cc3c	0x62f4cc3c	2	0.0.0.0	10.10.0.8		10.10.0.254	43200	21600
8	6.302769998	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x62f4cc3c	0x62f4cc3c	3	0.0.0.0	0.0.0.0	10.10.0.8	10.10.0.254		
9	6.311983739	10.10.0.254	10.10.0.8	DHCP	DHCP ACK      - Transaction ID 0x62f4cc3c	0x62f4cc3c	5	0.0.0.0	10.10.0.8		10.10.0.254	43200	21600
10	6.353157111	b8:27:eb:7d:e8:ee		ARP	ARP Announcement for 10.10.0.8								
11	8.353290828	b8:27:eb:7d:e8:ee		ARP	ARP Announcement for 10.10.0.8								
12	10.353431514	b8:27:eb:7d:e8:ee		ARP	ARP Announcement for 10.10.0.8								
13	11.425791552	b8:27:eb:ba:c7:ba		ARP	Who has 10.10.0.8? Tell 10.10.0.254								
14	11.426275455	b8:27:eb:7d:e8:ee		ARP	10.10.0.8 is at b8:27:eb:7d:e8:ee								
