frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
2	240.184195154	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
3	300.230482164	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
4	360.276782270	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
5	420.322518810	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
6	480.368831197	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
7	540.415088945	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
8	600.461394058	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
9	660.507045928	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
10	720.553355337	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
11	780.599650675	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
12	840.645356159	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
13	900.691629950	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
14	960.737650474	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
15	1020.783937502	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
16	1037.118372220	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0xe59ffa61	0xe59ffa61	1	b8:27:eb:3a:e2:c8	10.10.0.1	0.0.0.0
17	1040.123843668	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0xe59ffa61	0xe59ffa61	3	b8:27:eb:3a:e2:c8	10.10.0.1	0.0.0.0
18	1040.187496213	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
19	1042.187699525	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
20	1044.187853566	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.1					
21	1080.830195543	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
22	1140.876630508	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
23	1200.922641019	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
