frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
2	0.012228542	::	ff02::1:ff3a:e2c8	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe3a:e2c8					
3	0.028553282	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x690bf851	0x690bf851	1	b8:27:eb:7d:e8:ee		0.0.0.0
4	0.207985473	::	ff02::1:ff7d:e8ee	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe7d:e8ee					
5	0.300235215	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
6	0.603934749	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
7	0.823260786	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
8	1.036309063	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
9	1.039878125	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 PTR _workstation._tcp.local PTR pi-foo-01 [b8:27:eb:3a:e2:c8]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-01.local AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8					
10	1.104204218	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
11	1.212363486	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
12	1.229354215	fe80::ba27:ebff:fe3a:e2c8	ff02::2	ICMPv6	Router Solicitation					
13	1.296061141	fe80::ba27:ebff:fe7d:e8ee	ff02::2	ICMPv6	Router Solicitation					
14	1.554532801	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 PTR pi-foo-02 [b8:27:eb:7d:e8:ee]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-02.local AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee					
15	1.705165708	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8 PTR, cache flush pi-foo-01.local SRV, cache flush 0 0 9 pi-foo-01.local					
16	1.827023200	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
17	1.830763877	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x655d	0x0000655d	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
18	1.915919080	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
19	2.195525469	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee PTR, cache flush pi-foo-02.local SRV, cache flush 0 0 9 pi-foo-02.local					
20	2.825002813	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
21	3.209344232	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 PTR _workstation._tcp.local PTR pi-foo-01 [b8:27:eb:3a:e2:c8]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-01.local AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8					
22	3.781867756	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 PTR pi-foo-02 [b8:27:eb:7d:e8:ee]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 pi-foo-02.local AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee					
23	3.825467229	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
24	3.873922118	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8 PTR, cache flush pi-foo-01.local SRV, cache flush 0 0 9 pi-foo-01.local					
25	3.965650125	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x8b810b70	0x8b810b70	1	b8:27:eb:3a:e2:c8		0.0.0.0
26	4.422746778	fe80::ba27:ebff:fe7d:e8ee	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe7d:e8ee PTR, cache flush pi-foo-02.local SRV, cache flush 0 0 9 pi-foo-02.local					
27	4.826577488	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
28	5.392707072	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x690bf851	0x690bf851	1	b8:27:eb:7d:e8:ee		0.0.0.0
29	5.399847747	fe80::ba27:ebff:fe3a:e2c8	ff02::2	ICMPv6	Router Solicitation					
30	5.609634788	fe80::ba27:ebff:fe7d:e8ee	ff02::2	ICMPv6	Router Solicitation					
31	5.829746926	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
32	6.827922626	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
33	6.831631792	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x5e93	0x00005e93	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
34	7.828778286	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
35	8.829850365	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
36	9.833040320	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
37	10.831236435	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
38	11.052350509	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
39	11.140389326	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
40	11.177003477	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x10894407	0x10894407	1	b8:27:eb:3a:e2:c8		0.0.0.0
41	11.235996733	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
42	11.304008111	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
43	11.344910385	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0xdf00e104	0xdf00e104	1	b8:27:eb:7d:e8:ee		0.0.0.0
44	11.367958605	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
45	11.372338291	::	ff02::1:ff3a:e2c8	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe3a:e2c8					
46	11.475951059	::	ff02::1:ff7d:e8ee	ICMPv6	Neighbor Solicitation for fe80::ba27:ebff:fe7d:e8ee					
47	11.831709855	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
48	11.835413343	192.168.0.1	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x609	0x00000609	1	3c:78:95:3e:f4:62,3c:78:95:3e:f4:62		0.0.0.0
49	11.884346706	::	ff02::16	ICMPv6	Multicast Listener Report Message v2					
50	12.396464804	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
51	12.443260303	fe80::ba27:ebff:fe3a:e2c8	ff02::2	ICMPv6	Router Solicitation					
52	12.508053034	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
53	12.555343739	fe80::ba27:ebff:fe7d:e8ee	ff02::2	ICMPv6	Router Solicitation					
54	12.827971677	fe80::ba27:ebff:fe7d:e8ee	ff02::16	ICMPv6	Multicast Listener Report Message v2					
55	12.832545633	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	Realtek						
56	12.931526521	fe80::ba27:ebff:fe3a:e2c8	ff02::fb	MDNS	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::ba27:ebff:fe3a:e2c8 PTR, cache flush pi-foo-01.local SRV, cache flush 0 0 9 pi-foo-01.local					
57	12.940276829	fe80::ba27:ebff:fe3a:e2c8	ff02::16	ICMPv6	Multicast Listener Report Message v2					
