frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x5f7c774f	0x5f7c774f	1	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
2	0.002774361	10.10.0.254	10.10.0.8	ICMP	Echo (ping) request  id=0x5703, seq=0/0, ttl=64					
3	3.006866816	10.10.0.254	10.10.0.8	DHCP	DHCP Offer    - Transaction ID 0x5f7c774f	0x5f7c774f	2	b8:27:eb:7d:e8:ee		10.10.0.8
4	3.007446136	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x5f7c774f	0x5f7c774f	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
5	3.014918808	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x5f7c774f	0x5f7c774f	5	b8:27:eb:7d:e8:ee		10.10.0.2
6	3.069809117	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
7	3.071523171	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
8	3.075893462	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
9	3.077508715	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
10	5.070027543	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
11	5.071650452	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
12	7.070229711	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
13	7.072079285	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
14	8.135580346	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.254					
15	8.135663471	b8:27:eb:7d:e8:ee	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee					
16	8.135583679	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
17	9.159572273	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
18	10.183554146	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
19	26.204969126	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
20	26.205293395	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
21	26.214510434	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
22	60.819754797	10.10.0.1	10.10.0.2	ICMP	Echo (ping) request  id=0x0004, seq=1/256, ttl=64					
23	60.819908286	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.1? Tell 10.10.0.2					
24	60.820405419	b8:27:eb:3a:e2:c8	b8:27:eb:7d:e8:ee	ARP	10.10.0.1 is at b8:27:eb:3a:e2:c8					
25	60.820426513	10.10.0.2	10.10.0.1	ICMP	Echo (ping) reply    id=0x0004, seq=1/256, ttl=64 (request in 22)					
26	65.965000066	b8:27:eb:3a:e2:c8	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
27	65.965054702	b8:27:eb:7d:e8:ee	b8:27:eb:3a:e2:c8	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee					
28	86.251147862	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
29	86.251370934	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
30	86.260546565	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
31	146.297601051	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
32	146.297828133	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
33	146.307002670	3c:78:95:3e:f4:62	b8:27:eb:7d:e8:ee	ARP	Gratuitous ARP for 10.10.0.2 (Reply) (duplicate use of 10.10.0.2 detected!)					
