frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
1	0.000000000	0.0.0.0	255.255.255.255	DHCP	DHCP Discover - Transaction ID 0x5f7c774f	0x5f7c774f	1	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
2	0.000372338	10.10.0.254	10.10.0.2	ICMP	Echo (ping) request  id=0x9995, seq=0/0, ttl=64					
3	0.002131632	10.10.0.2	10.10.0.254	ICMP	Echo (ping) reply    id=0x9995, seq=0/0, ttl=64 (request in 2)					
4	0.002248453	10.10.0.254	10.10.0.8	ICMP	Echo (ping) request  id=0x5703, seq=0/0, ttl=64					
5	3.006195915	10.10.0.254	10.10.0.8	DHCP	DHCP Offer    - Transaction ID 0x5f7c774f	0x5f7c774f	2	b8:27:eb:7d:e8:ee		10.10.0.8
6	3.007435999	0.0.0.0	255.255.255.255	DHCP	DHCP Request  - Transaction ID 0x5f7c774f	0x5f7c774f	3	b8:27:eb:7d:e8:ee	10.10.0.2	0.0.0.0
7	3.014236047	10.10.0.254	10.10.0.2	DHCP	DHCP ACK      - Transaction ID 0x5f7c774f	0x5f7c774f	5	b8:27:eb:7d:e8:ee		10.10.0.2
8	3.069741566	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
9	3.075814959	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
10	5.069927387	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
11	7.070164713	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
12	8.134950359	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.2? Tell 10.10.0.254					
13	8.135010670	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
14	8.135522746	b8:27:eb:7d:e8:ee	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at b8:27:eb:7d:e8:ee					
15	8.136732883	3c:78:95:3e:f4:62	b8:27:eb:ba:c7:ba	ARP	10.10.0.2 is at 3c:78:95:3e:f4:62					
16	9.158951875	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
17	10.182941217	b8:27:eb:ba:c7:ba	b8:27:eb:7d:e8:ee	ARP	Who has 10.10.0.8? Tell 10.10.0.254					
18	26.204503910	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
19	26.204602034	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba (duplicate use of 10.10.0.2 detected!)					
20	26.205057443	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
21	60.819489792	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.1? Tell 10.10.0.2					
22	86.250341047	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
23	86.250410473	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba (duplicate use of 10.10.0.2 detected!)					
24	86.250769270	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
25	146.296508231	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2 (duplicate use of 10.10.0.2 detected!)					
26	146.296591979	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba (duplicate use of 10.10.0.2 detected!)					
27	146.296945933	b8:27:eb:7d:e8:ee	ff:ff:ff:ff:ff:ff	ARP	ARP Announcement for 10.10.0.2					
